an_profil,an_donnee,cod_geo_n,nom_mun,designation,population,classe_population,cod_mrc,nom_mrc,cod_ra,nom_ra,cod_cm,nom_cm,RFU3000,RFU0501,RFU0600,RFU0601,PRC1400,PRC1401,PRC1500,PRC1501,PRC1600,PRC1601,PRC2200,RFU3001,PRC2201,PRC2300,PRC2000,RAT0130,RAT0131,IND0102,RFU3002,RFU3003,RFU0700,RFU0702,PRR0202,PRR0203,RFU0400,RFU0401,RFU0500
2023,2023,06060,L'Ascension-de-Patapédia,M,168,1 @ 1 999,AR060,Avignon,11,Gaspésie-Îles-de-la-Madeleine,,,13744888.000000,,1264823.000000,,0.442000,,0.298400,,0.167100,,0.092400,,,55519.000000,57140.000000,54980.000000,,32.000000,250.000000,,13688732.000000,,6051011.000000,,4085349.000000,,2287549.000000
2023,2023,07005,Sainte-Marguerite-Marie,M,175,1 @ 1 999,AR070,La Matapédia,01,Bas-Saint-Laurent,,,13793843.180000,,41965.000000,,0.453900,,0.543100,,,,0.003000,,,71652.000000,69642.000000,56532.000000,,33.000000,244.000000,,13792860.000000,,6260524.000000,,7490371.000000,,
2023,2023,07010,Sainte-Florence,M,361,1 @ 1 999,AR070,La Matapédia,01,Bas-Saint-Laurent,,,23009170.000000,,207957.000000,,0.539500,,0.362400,,0.089000,,0.009000,,,75410.000000,61494.000000,63386.000000,,36.000000,363.000000,,22982596.000000,,12399964.000000,,8329816.000000,,2044859.000000
2023,2023,07018,Causapscal,V,2242,2 000 @ 9 999,AR070,La Matapédia,01,Bas-Saint-Laurent,,,163845042.500000,,1565750.000000,,0.689700,,0.224300,,0.075800,,0.010200,,,118596.000000,96977.000000,119945.000000,,44.000000,1366.000000,,153167762.500000,,105641500.000000,,34348887.500000,,11611625.000000
2023,2023,07025,Albertville,M,227,1 @ 1 999,AR070,La Matapédia,01,Bas-Saint-Laurent,,,29423484.520000,,415932.000000,,0.364600,,0.493900,,0.127200,,0.014300,,,94735.000000,81796.000000,76624.000000,,44.000000,384.000000,,29130858.000000,,10621884.000000,,14388836.000000,,3704206.000000
2023,2023,07030,Saint-Léon-le-Grand,P,988,1 @ 1 999,AR070,La Matapédia,01,Bas-Saint-Laurent,,,79537299.760000,,829112.000000,,0.574400,,0.225600,,0.189400,,0.010600,,,117725.000000,109838.000000,110776.000000,,64.000000,718.000000,,78160398.000000,,44894780.000000,,17634856.000000,,14801650.000000
2023,2023,07035,Saint-Zénon-du-Lac-Humqui,P,344,1 @ 1 999,AR070,La Matapédia,01,Bas-Saint-Laurent,,,40584170.000000,,594770.000000,,0.506000,,0.385400,,0.094000,,0.014700,,,93825.000000,83476.000000,73789.000000,,42.000000,550.000000,,40550070.000000,,20516540.000000,,15627480.000000,,3811280.000000
2023,2023,07040,Sainte-Irène,P,341,1 @ 1 999,AR070,La Matapédia,01,Bas-Saint-Laurent,,,53324718.720000,,965328.000000,,0.583600,,0.257100,,0.141000,,0.018200,,,144404.000000,120708.000000,96081.000000,,55.000000,555.000000,,53108160.000000,,30996224.000000,,13656608.000000,,7490000.000000
2023,2023,07047,Amqui,V,6255,2 000 @ 9 999,AR070,La Matapédia,01,Bas-Saint-Laurent,,,617261209.840000,,7002455.000000,,0.761400,,0.169600,,0.056800,,0.012200,,,184999.000000,137375.000000,214476.000000,,78.000000,2878.000000,,575894012.000000,,438513024.000000,,97683964.000000,,32694569.000000
2023,2023,07057,Lac-au-Saumon,M,1414,1 @ 1 999,AR070,La Matapédia,01,Bas-Saint-Laurent,,,109371691.440000,,1179948.000000,,0.699800,,0.163900,,0.124200,,0.012200,,,139024.000000,118133.000000,134198.000000,,77.000000,815.000000,,96576216.000000,,67579380.000000,,15824820.000000,,11992068.000000
